ID,Cluster,MDS_Dim1,MDS_Dim2,Dist,Velo,AM_Freq
0,0,0.28576949333783885,-0.3298487310355054,0.05,10,0
1,0,0.4027053134379744,-0.2712125226459472,0.05,10,20
2,1,-0.4783391532899586,0.03307984288721356,0.05,10,100
3,0,0.41672472886807155,-0.017767507916852863,0.05,100,0
4,0,0.4147342309104618,-0.13464654092539954,0.05,100,20
5,1,-0.46607287736771247,0.01312092073754191,0.05,100,100
6,0,0.036560057255893744,-0.4092788463010886,0.05,1000,0
7,0,0.45603351089266164,-0.25576335923132654,0.05,1000,20
8,1,-0.4830873240506232,-0.02659654273381349,0.05,1000,100
9,2,0.33306322949882544,0.45320041074971346,4.0,10,0
10,0,0.4685613838136667,-0.13371427356934662,4.0,10,20
11,1,-0.4734865631036885,0.07643620993305071,4.0,10,100
12,2,0.16220962549946732,0.35466510617016533,4.0,100,0
13,2,0.3938284165477404,0.2498218316563578,4.0,100,20
14,1,-0.39482425886266237,-0.15669755012889905,4.0,100,100
15,1,-0.4729000534754203,0.20138981056098515,4.0,1000,0
16,2,-0.14759554242104522,0.5285107642558556,4.0,1000,20
17,1,-0.4538842174914914,-0.17469902246270413,4.0,1000,100
